ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
vividseats-VB5740763904,vividseats,F,319,https://www.vividseats.com//production/3727337?showDetails=VB5740763904&qty=1,1,1662036268783
vividseats-VB5734661715,vividseats,M,106,https://www.vividseats.com//production/3727337?showDetails=VB5734661715&qty=1,1,1662036268783
stubhub-5477160919,stubhub,F,122,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477160919,1,1662036268783
stubhub-5405723597,stubhub,B,121,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5405723597,1,1662036268783
seatgeek-NrqUJ8644kk,seatgeek,K,330,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=NrqUJ8644kk,3,1662036268783
seatgeek-EroUbdbGxDO,seatgeek,C,101,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=EroUbdbGxDO,3,1662036268783
stubhub-5474803825,stubhub,D,109,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5474803825,1,1662036268783
stubhub--5475464136,stubhub,J,113,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=-5475464136,1,1662036268783
vividseats-VB5742310446,vividseats,A,332,https://www.vividseats.com//production/3727337?showDetails=VB5742310446&qty=1,1,1662036268783
seatgeek-5EjuqY70OlK,seatgeek,F,103,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=5EjuqY70OlK,3,1662036268783
vividseats-VB5740771479,vividseats,B,24,https://www.vividseats.com//production/3727337?showDetails=VB5740771479&qty=1,1,1662036268783
seatgeek-3q7fv0vK47D,seatgeek,F,302,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=3q7fv0vK47D,3,1662036268783
stubhub-5477083362,stubhub,F,340,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477083362,1,1662036268783
seatgeek-b4wURBwrrVb,seatgeek,E,130,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=b4wURBwrrVb,3,1662036268783
seatgeek-w3JsqZErbDo,seatgeek,J,136,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=w3JsqZErbDo,3,1662036268783
seatgeek-dNgUZXV7RMr,seatgeek,T,309,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=dNgUZXV7RMr,3,1662036268783
seatgeek-5EjuqYBPPq5,seatgeek,M,107,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=5EjuqYBPPq5,3,1662036268783
seatgeek-YgJtqPrKg2N,seatgeek,E,122,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=YgJtqPrKg2N,3,1662036268783
seatgeek-6mOhKZLDdx7,seatgeek,R,314,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZLDdx7,3,1662036268783
seatgeek-EroUbdlPa22,seatgeek,J,62,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=EroUbdlPa22,3,1662036268783
stubhub-5364174420,stubhub,C,22,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5364174420,1,1662036268783
seatgeek-X03tO060YGo,seatgeek,L,335,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=X03tO060YGo,3,1662036268783
seatgeek-ROXHZpRRkKN,seatgeek,G,117,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=ROXHZpRRkKN,3,1662036268783
seatgeek-vb3iYnYXr23,seatgeek,W,328,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=vb3iYnYXr23,3,1662034400198
vividseats-VB5734628947,vividseats,H,303,https://www.vividseats.com//production/3727337?showDetails=VB5734628947&qty=1,1,1662036268783
seatgeek-b4wURBwAPRr,seatgeek,J,120,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=b4wURBwAPRr,3,1662036268783
stubhub--5377990126,stubhub,A,121,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=-5377990126,1,1662036268783
seatgeek-b4wURPBlJ2Z,seatgeek,J,303,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=b4wURPBlJ2Z,3,1662036268783
stubhub-5352992352,stubhub,B,310,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5352992352,1,1662036268783
stubhub-5355350979,stubhub,G,112,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5355350979,1,1662036268783
seatgeek-lxVsqEqj5XR,seatgeek,L,104,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=lxVsqEqj5XR,3,1662036268783
stubhub-5468561297,stubhub,,122,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5468561297,1,1662036268783
seatgeek-dNgUZdDPoRY,seatgeek,P,324,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=dNgUZdDPoRY,3,1662036268783
stubhub-5477682185,stubhub,O,335,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477682185,1,1662036268783
stubhub-5477997030,stubhub,,331,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477997030,1,1662036268783
seatgeek-PX0sXJXGwgn,seatgeek,F,304,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=PX0sXJXGwgn,1,1662036268783
vividseats-VB5740763913,vividseats,F,103,https://www.vividseats.com//production/3727337?showDetails=VB5740763913&qty=1,1,1662036268783
seatgeek-05VTRJmEOoB,seatgeek,B,114,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJmEOoB,3,1662036268783
seatgeek-ROXHZGEqx5m,seatgeek,B,130,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=ROXHZGEqx5m,3,1662036268783
stubhub-5355686968,stubhub,B,130,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5355686968,1,1662036268783
stubhub-5478050863,stubhub,M,113,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5478050863,1,1662036268783
seatgeek-JABI56jdM26,seatgeek,Q,331,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=JABI56jdM26,3,1662036268783
seatgeek-EroUbdlMxer,seatgeek,N,125,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=EroUbdlMxer,3,1662036268783
seatgeek-A6rsn6AP5Ol,seatgeek,H,21,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=A6rsn6AP5Ol,3,1662036268783
seatgeek-dNgUZdkl0Bq,seatgeek,O,333,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=dNgUZdkl0Bq,3,1662036268783
vividseats-VB5734565406,vividseats,P,335,https://www.vividseats.com//production/3727337?showDetails=VB5734565406&qty=1,1,1662036268783
seatgeek-05VTRrLRd5m,seatgeek,K,120,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRrLRd5m,4,1662036268783
stubhub-5105926752,stubhub,M,336,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5105926752,1,1662036268783
stubhub-5309612564,stubhub,K,120,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5309612564,2,1662036268783
seatgeek-z3EsDzDxBOE,seatgeek,C,113,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=z3EsDzDxBOE,3,1662036268783
