ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-6mOhKZkdYnP,seatgeek,E,303,Section 303 Row E,Section 303 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdYnP,3,1662336601383
seatgeek-6mOhKZkdkRe,seatgeek,F,323,Section 323 Row F,Section 323 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdkRe,2,1662334296932
seatgeek-6mOhKZkdkj9,seatgeek,W,315,Section 315 Row W,Section 315 Row W,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdkj9,2,1662334296932
seatgeek-6mOhKZkdkpr,seatgeek,D,324,Section 324 Row D,Section 324 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdkpr,2,1662334296932
seatgeek-6mOhKZkdqz2,seatgeek,H,317,Section 317 Row H,Section 317 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkdqz2,3,1662421587646
seatgeek-6mOhKZkgV3p,seatgeek,M,338,Section 338 Row M,Section 338 Row M,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkgV3p,12,1662596828482
seatgeek-6mOhKZkmBr8,seatgeek,K,115,Section 115 Row K,Section 115 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkmBr8,6,1662328311162
seatgeek-6mOhKZkobe0,seatgeek,G,327,Section 327 Row G,Section 327 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkobe0,3,1662409299440
seatgeek-6mOhKZkpkeB,seatgeek,F,103,Section 103 Row F,Section 103 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkpkeB,6,1662596828482
seatgeek-6mOhKZkq0wm,seatgeek,O,332,Section 332 Row O,Section 332 Row O,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkq0wm,3,1662547895287
seatgeek-6mOhKZkvBDB,seatgeek,K,118,Section 118 Row K,Section 118 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkvBDB,18,1662596828482
seatgeek-6mOhKZkxX9R,seatgeek,H,307,Section 307 Row H,Section 307 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkxX9R,3,1662315534310
seatgeek-6mOhKZkxjG0,seatgeek,P,331,Section 331 Row P,Section 331 Row P,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkxjG0,11,1662422531728
