ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
stubhub-5502880391,stubhub,A,128,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5502880391,4,1662921037695
stubhub-5502617075,stubhub,G,133,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5502617075,1,1662900440428
stubhub-5501924641,stubhub,H,308,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501924641,1,1662863508793
stubhub-5503026693,stubhub,T,309,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5503026693,1,1662919077109
vividseats-VB5769248489,vividseats,J,124,Loge 124,,https://www.vividseats.com//production/3736730?showDetails=VB5769248489&qty=1,3,1662905529710
vividseats-VB5772038122,vividseats,J,326,Promenade 326,,https://www.vividseats.com//production/3736730?showDetails=VB5772038122&qty=1,1,1662861991314
seatgeek-lxVsqEd3bgK,seatgeek,N,320,Section 320 Row N,Section 320 Row N,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=lxVsqEd3bgK,3,1662861991314
vividseats-VB5767879341,vividseats,C,135,Loge 135,,https://www.vividseats.com//production/3736730?showDetails=VB5767879341&qty=1,5,1662910745042
stubhub-5490305374,stubhub,N,320,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5490305374,2,1662912041342
seatgeek-4vXcG7jXED8,seatgeek,O,312,Section 312 Row O,Section 312 Row O,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=4vXcG7jXED8,3,1662861991314
vividseats-VB5772046859,vividseats,Q,313,Promenade 313,,https://www.vividseats.com//production/3736730?showDetails=VB5772046859&qty=1,1,1662861991314
stubhub-5476061837,stubhub,N,319,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5476061837,1,1662861991314
vividseats-VB5773537142,vividseats,E,116,Loge 116,,https://www.vividseats.com//production/3736730?showDetails=VB5773537142&qty=1,1,1662902168881
vividseats-VB5774078671,vividseats,J,119,Loge 119,,https://www.vividseats.com//production/3736730?showDetails=VB5774078671&qty=1,1,1662909017574
stubhub-5501925281,stubhub,W,317,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501925281,1,1662863508793
