ticket,site,row,section,url
seatgeek-3q7fvRJMMze,seatgeek,9,103,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRJMMze
seatgeek-3q7fvRJrD60,seatgeek,10,208,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRJrD60
seatgeek-3q7fvRazeoz,seatgeek,20,120,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRazeoz
seatgeek-3q7fvRb0A3A,seatgeek,21,226,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRb0A3A
seatgeek-3q7fvRb0ONN,seatgeek,2,417,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRb0ONN
seatgeek-3q7fvRoER4o,seatgeek,12,113,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRoER4o
seatgeek-3q7fvRoPPPJ,seatgeek,10,108,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRoPPPJ
seatgeek-3q7fvRogPZZ,seatgeek,5,9,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRogPZZ
seatgeek-3q7fvRoxZVo,seatgeek,7,3,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRoxZVo
seatgeek-3q7fvRqo6gj,seatgeek,10,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRqo6gj
seatgeek-3q7fvRrdREV,seatgeek,6,227,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRrdREV
seatgeek-3q7fvRrdRdA,seatgeek,5,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRrdRdA
seatgeek-3q7fvRrdwVm,seatgeek,4,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRrdwVm
seatgeek-3q7fvRrdwgX,seatgeek,18,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRrdwgX
seatgeek-3q7fvRxDRYM,seatgeek,12,117,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRxDRYM
seatgeek-3q7fvRzJbEl,seatgeek,1,208,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=3q7fvRzJbEl
seatgeek-4vXcGD06A3e,seatgeek,12,109,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD06A3e
seatgeek-4vXcGD0w2lb,seatgeek,3,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD0w2lb
seatgeek-4vXcGD33BDZ,seatgeek,8,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD33BDZ
seatgeek-4vXcGD3DM4N,seatgeek,10,112,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD3DM4N
seatgeek-4vXcGD3DMxL,seatgeek,2,2,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD3DMxL
seatgeek-4vXcGD3xLYY,seatgeek,11,104,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD3xLYY
seatgeek-4vXcGD3xLlq,seatgeek,9,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD3xLlq
seatgeek-4vXcGD3xLqj,seatgeek,21,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD3xLqj
seatgeek-4vXcGD4DmYj,seatgeek,13,105,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGD4DmYj
seatgeek-4vXcGDAqVEn,seatgeek,12,2,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDAqVEn
seatgeek-4vXcGDAvg0a,seatgeek,A,D,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDAvg0a
seatgeek-4vXcGDE9gxb,seatgeek,1,305,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDE9gxb
seatgeek-4vXcGDEAvn8,seatgeek,18,224,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDEAvn8
seatgeek-4vXcGDEgXVj,seatgeek,22,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDEgXVj
seatgeek-4vXcGDEkx6v,seatgeek,16,222,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDEkx6v
seatgeek-4vXcGDKoD9g,seatgeek,17,227,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKoD9g
seatgeek-4vXcGDKoDJV,seatgeek,15,212,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKoDJV
seatgeek-4vXcGDKoDRg,seatgeek,6,212,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKoDRg
seatgeek-4vXcGDKoDd5,seatgeek,4,218,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKoDd5
seatgeek-4vXcGDKoDo7,seatgeek,17,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKoDo7
seatgeek-4vXcGDKoDpp,seatgeek,16,223,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKoDpp
seatgeek-4vXcGDKom8l,seatgeek,21,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKom8l
seatgeek-4vXcGDKomgk,seatgeek,4,224,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDKomgk
seatgeek-4vXcGDMJYbn,seatgeek,20,118,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDMJYbn
seatgeek-4vXcGDO0ELx,seatgeek,10,221,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDO0ELx
seatgeek-4vXcGDO0EgO,seatgeek,2,305,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDO0EgO
seatgeek-4vXcGDVv8gr,seatgeek,17,110,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDVv8gr
seatgeek-4vXcGDXx54K,seatgeek,16,227,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=4vXcGDXx54K
